Trans #,Date,Description,Account,Name,Code,Tax Code,Split,Debit,Credit,Amount,Account Type
"367,568",22/08/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1222 · Universal Home Improvements Acc,,"64,810.46","-64,810.46",Bank
"367,568",22/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1221 · UHI 2nd Account,"64,810.46",,"64,810.46",Bank
"367,910",25/08/2023,Funds Transfer,1204,Choices Flooring Noosaville,1-1204,N-T,1222 · Universal Home Improvements Acc,,"50,000.00","-50,000.00",Bank
"367,910",25/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1204 · Choices Flooring Noosaville,"50,000.00",,"50,000.00",Bank
"367,989",25/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"60,000.00","-60,000.00",Bank
"367,989",25/08/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"60,000.00",,"60,000.00",Bank
"368,017",28/08/2023,Funds Transfer,1221,UHI 2nd Account,1-1221,N-T,1222 · Universal Home Improvements Acc,,"24,640.00","-24,640.00",Bank
"368,017",28/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1221 · UHI 2nd Account,"24,640.00",,"24,640.00",Bank
"368,530",31/08/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"50,000.00","-50,000.00",Bank
"368,530",31/08/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"50,000.00",,"50,000.00",Bank
"369,089",06/09/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1208 · NAB Qantas Business Card,,"45,000.00","-45,000.00",Bank
"369,089",06/09/2023,Funds Transfer,1208,NAB Qantas Business Card,1-1208,N-T,1222 · Universal Home Improvements Acc,"45,000.00",,"45,000.00",Bank
"369,174",08/09/2023,Funds Transfer,1222,Universal Home Improvements Acc,1-1222,N-T,1206 · Long Service Leave Account,,"50,000.00","-50,000.00",Bank
